cp	max_depth	min_split	min_bucket	ganancia_promedio
-4	10	200	100	42950000
-4	10	300	150	42030000
-4	10	400	200	47530000
-4	10	500	250	46740000
-4	10	600	300	45680000
-4	10	700	350	46150000
-4	10	800	400	47490000
-4	10	900	450	44930000
-4	10	1000	500	47430000
-4	10	1100	550	49450000
-4	10	1200	600	49390000
-4	10	1500	750	46580000
-4	10	2000	1000	47910000
-4	11	10	5	39660000
-4	11	20	10	37770000
-4	11	30	15	34750000
-4	11	40	20	35020000
-4	11	50	25	29280000
-4	11	60	30	30040000
-4	11	70	35	28590000
-4	11	80	40	28430000
-4	11	100	50	34530000
-4	11	200	100	41530000
-4	11	300	150	42650000
-4	11	400	200	47430000
-4	11	500	250	45780000
-4	11	600	300	44150000
-4	11	700	350	44530000
-4	11	800	400	47490000
-4	11	900	450	44930000
-4	11	1000	500	47430000
-4	11	1100	550	49450000
-4	11	1200	600	49390000
-4	11	1500	750	46580000
-4	11	2000	1000	47910000
-3	5	10	5	44750000
-3	5	20	10	44750000
-3	5	30	15	43380000
-3	5	40	20	42960000
-3	5	50	25	42660000
-3	5	60	30	43320000
-3	5	70	35	43320000
-3	5	80	40	43320000
-3	5	100	50	43020000
-3	5	200	100	45420000
-3	5	300	150	45820000
-3	5	400	200	46530000
-3	5	500	250	46530000
-3	5	600	300	46450000
-3	5	700	350	45930000
-3	5	800	400	45930000
-3	5	900	450	45670000
-3	5	1000	500	45140000
-3	5	1100	550	46140000
-3	5	1200	600	46080000
-3	5	1500	750	44790000
-3	5	2000	1000	47910000
-3	6	10	5	44810000
-3	6	20	10	45450000
-3	6	30	15	45670000
-3	6	40	20	44800000
-3	6	50	25	44260000
-3	6	60	30	45150000
-3	6	70	35	45140000
-3	6	80	40	45080000
-3	6	100	50	44890000
-3	6	200	100	49450000
-3	6	300	150	47540000
-3	6	400	200	47430000
-3	6	500	250	47430000
-3	6	600	300	47880000
-3	6	700	350	48780000
-3	6	800	400	49020000
-3	6	900	450	47830000
-3	6	1000	500	47720000
-3	6	1100	550	48720000
-3	6	1200	600	48660000
-3	6	1500	750	46580000
-3	6	2000	1000	47910000
-3	7	10	5	4.8e+07
-3	7	20	10	47860000
-3	7	30	15	48520000
-3	7	40	20	46530000
-3	7	50	25	42550000
-3	7	60	30	42400000
-3	7	70	35	41550000
-3	7	80	40	42150000
-3	7	100	50	45670000
-3	7	200	100	46920000
-3	7	300	150	44360000
-3	7	400	200	46190000
-3	7	500	250	46190000
-3	7	600	300	46190000
-3	7	700	350	46750000
-3	7	800	400	49020000
-3	7	900	450	47830000
-3	7	1000	500	46700000
-3	7	1100	550	48720000
-3	7	1200	600	48660000
-3	7	1500	750	46580000
-3	7	2000	1000	47910000
-3	8	10	5	48670000
-3	8	20	10	43150000
-3	8	30	15	41840000
-3	8	40	20	38080000
-3	8	50	25	38180000
-3	8	60	30	38710000
-3	8	70	35	39520000
-3	8	80	40	39600000
-3	8	100	50	38240000
-3	8	200	100	41510000
-3	8	300	150	43210000
-3	8	400	200	47150000
-3	8	500	250	47980000
-3	8	600	300	47510000
-3	8	700	350	48020000
-3	8	800	400	50540000
-3	8	900	450	47830000
-3	8	1000	500	47430000
-3	8	1100	550	49450000
-3	8	1200	600	49390000
-3	8	1500	750	46580000
-3	8	2000	1000	47910000
-3	9	10	5	47280000
-3	9	20	10	40530000
-3	9	30	15	38480000
-3	9	40	20	37110000
-3	9	50	25	38080000
-3	9	60	30	39400000
-3	9	70	35	38110000
-3	9	80	40	36740000
-3	9	100	50	40810000
-3	9	200	100	43440000
-3	9	300	150	43810000
-3	9	400	200	48310000
-3	9	500	250	46730000
-3	9	600	300	46430000
-3	9	700	350	46910000
-3	9	800	400	49150000
-3	9	900	450	46310000
-3	9	1000	500	47430000
-3	9	1100	550	49450000
-3	9	1200	600	49390000
-3	9	1500	750	46580000
-3	9	2000	1000	47910000
-3	10	10	5	42440000
-3	10	20	10	41190000
-3	10	30	15	38180000
-3	10	40	20	37550000
-3	10	50	25	36940000
-3	10	60	30	35670000
-3	10	70	35	33670000
-3	10	80	40	32720000
-3	10	100	50	37760000
-3	10	200	100	42950000
-3	10	300	150	42030000
-3	10	400	200	47530000
-3	10	500	250	46740000
-3	10	600	300	45680000
-3	10	700	350	46150000
-3	10	800	400	47490000
-3	10	900	450	44930000
-3	10	1000	500	47430000
-3	10	1100	550	49450000
-3	10	1200	600	49390000
-3	10	1500	750	46580000
-3	10	2000	1000	47910000
-3	11	10	5	39660000
-3	11	20	10	37770000
-3	11	30	15	34750000
-3	11	40	20	35020000
-3	11	50	25	29280000
-3	11	60	30	30040000
-3	11	70	35	28590000
-3	11	80	40	28430000
-3	11	100	50	34530000
-3	11	200	100	41530000
-3	11	300	150	42650000
-3	11	400	200	47430000
-3	11	500	250	45780000
-3	11	600	300	44150000
-3	11	700	350	44530000
-3	11	800	400	47490000
-3	11	900	450	44930000
-3	11	1000	500	47430000
-3	11	1100	550	49450000
-3	11	1200	600	49390000
-3	11	1500	750	46580000
-3	11	2000	1000	47910000
-2	5	10	5	44750000
-2	5	20	10	44750000
-2	5	30	15	43380000
-2	5	40	20	42960000
-2	5	50	25	42660000
-2	5	60	30	43320000
-2	5	70	35	43320000
-2	5	80	40	43320000
-2	5	100	50	43020000
-2	5	200	100	45420000
-2	5	300	150	45820000
-2	5	400	200	46530000
-2	5	500	250	46530000
-2	5	600	300	46450000
-2	5	700	350	45930000
-2	5	800	400	45930000
-2	5	900	450	45670000
-2	5	1000	500	45140000
-2	5	1100	550	46140000
-2	5	1200	600	46080000
-2	5	1500	750	44790000
-2	5	2000	1000	47910000
-2	6	10	5	44810000
-2	6	20	10	45450000
-2	6	30	15	45670000
-2	6	40	20	44800000
-2	6	50	25	44260000
-2	6	60	30	45150000
-2	6	70	35	45140000
-2	6	80	40	45080000
-2	6	100	50	44890000
-2	6	200	100	49450000
-2	6	300	150	47540000
-2	6	400	200	47430000
-2	6	500	250	47430000
-2	6	600	300	47880000
-2	6	700	350	48780000
-2	6	800	400	49020000
-2	6	900	450	47830000
-2	6	1000	500	47720000
-2	6	1100	550	48720000
-2	6	1200	600	48660000
-2	6	1500	750	46580000
-2	6	2000	1000	47910000
-2	7	10	5	4.8e+07
-2	7	20	10	47860000
-2	7	30	15	48520000
-2	7	40	20	46530000
-2	7	50	25	42550000
-2	7	60	30	42400000
-2	7	70	35	41550000
-2	7	80	40	42150000
-2	7	100	50	45670000
-2	7	200	100	46920000
-2	7	300	150	44360000
-2	7	400	200	46190000
-2	7	500	250	46190000
-2	7	600	300	46190000
-2	7	700	350	46750000
-2	7	800	400	49020000
-2	7	900	450	47830000
-2	7	1000	500	46700000
-2	7	1100	550	48720000
-2	7	1200	600	48660000
-2	7	1500	750	46580000
-2	7	2000	1000	47910000
-2	8	10	5	48670000
-2	8	20	10	43150000
-2	8	30	15	41840000
-2	8	40	20	38080000
-2	8	50	25	38180000
-2	8	60	30	38710000
-2	8	70	35	39520000
-2	8	80	40	39600000
-2	8	100	50	38240000
-2	8	200	100	41510000
-2	8	300	150	43210000
-2	8	400	200	47150000
-2	8	500	250	47980000
-2	8	600	300	47510000
-2	8	700	350	48020000
-2	8	800	400	50540000
-2	8	900	450	47830000
-2	8	1000	500	47430000
-2	8	1100	550	49450000
-2	8	1200	600	49390000
-2	8	1500	750	46580000
-2	8	2000	1000	47910000
-2	9	10	5	47280000
-2	9	20	10	40530000
-2	9	30	15	38480000
-2	9	40	20	37110000
-2	9	50	25	38080000
-2	9	60	30	39400000
-2	9	70	35	38110000
-2	9	80	40	36740000
-2	9	100	50	40810000
-2	9	200	100	43440000
-2	9	300	150	43810000
-2	9	400	200	48310000
-2	9	500	250	46730000
-2	9	600	300	46430000
-2	9	700	350	46910000
-2	9	800	400	49150000
-2	9	900	450	46310000
-2	9	1000	500	47430000
-2	9	1100	550	49450000
-2	9	1200	600	49390000
-2	9	1500	750	46580000
-2	9	2000	1000	47910000
-2	10	10	5	42440000
-2	10	20	10	41190000
-2	10	30	15	38180000
-2	10	40	20	37550000
-2	10	50	25	36940000
-2	10	60	30	35670000
-2	10	70	35	33670000
-2	10	80	40	32720000
-2	10	100	50	37760000
-2	10	200	100	42950000
-2	10	300	150	42030000
-2	10	400	200	47530000
-2	10	500	250	46740000
-2	10	600	300	45680000
-2	10	700	350	46150000
-2	10	800	400	47490000
-2	10	900	450	44930000
-2	10	1000	500	47430000
-2	10	1100	550	49450000
-2	10	1200	600	49390000
-2	10	1500	750	46580000
-2	10	2000	1000	47910000
-2	11	10	5	39660000
-2	11	20	10	37770000
-2	11	30	15	34750000
-2	11	40	20	35020000
-2	11	50	25	29280000
-2	11	60	30	30040000
-2	11	70	35	28590000
-2	11	80	40	28430000
-2	11	100	50	34530000
-2	11	200	100	41530000
-2	11	300	150	42650000
-2	11	400	200	47430000
-2	11	500	250	45780000
-2	11	600	300	44150000
-2	11	700	350	44530000
-2	11	800	400	47490000
-2	11	900	450	44930000
-2	11	1000	500	47430000
-2	11	1100	550	49450000
-2	11	1200	600	49390000
-2	11	1500	750	46580000
-2	11	2000	1000	47910000
-1	5	10	5	44750000
-1	5	20	10	44750000
-1	5	30	15	43380000
-1	5	40	20	42960000
-1	5	50	25	42660000
-1	5	60	30	43320000
-1	5	70	35	43320000
-1	5	80	40	43320000
-1	5	100	50	43020000
-1	5	200	100	45420000
-1	5	300	150	45820000
-1	5	400	200	46530000
-1	5	500	250	46530000
-1	5	600	300	46450000
-1	5	700	350	45930000
-1	5	800	400	45930000
-1	5	900	450	45670000
-1	5	1000	500	45140000
-1	5	1100	550	46140000
-1	5	1200	600	46080000
-1	5	1500	750	44790000
-1	5	2000	1000	47910000
-1	6	10	5	44810000
-1	6	20	10	45450000
-1	6	30	15	45670000
-1	6	40	20	44800000
-1	6	50	25	44260000
-1	6	60	30	45150000
-1	6	70	35	45140000
-1	6	80	40	45080000
-1	6	100	50	44890000
-1	6	200	100	49450000
-1	6	300	150	47540000
-1	6	400	200	47430000
-1	6	500	250	47430000
-1	6	600	300	47880000
-1	6	700	350	48780000
-1	6	800	400	49020000
-1	6	900	450	47830000
-1	6	1000	500	47720000
-1	6	1100	550	48720000
-1	6	1200	600	48660000
-1	6	1500	750	46580000
-1	6	2000	1000	47910000
-1	7	10	5	4.8e+07
-1	7	20	10	47860000
-1	7	30	15	48520000
-1	7	40	20	46530000
-1	7	50	25	42550000
-1	7	60	30	42400000
-1	7	70	35	41550000
-1	7	80	40	42150000
-1	7	100	50	45670000
-1	7	200	100	46920000
-1	7	300	150	44360000
-1	7	400	200	46190000
-1	7	500	250	46190000
-1	7	600	300	46190000
-1	7	700	350	46750000
-1	7	800	400	49020000
-1	7	900	450	47830000
-1	7	1000	500	46700000
-1	7	1100	550	48720000
-1	7	1200	600	48660000
-1	7	1500	750	46580000
-1	7	2000	1000	47910000
-1	8	10	5	48670000
-1	8	20	10	43150000
-1	8	30	15	41840000
-1	8	40	20	38080000
-1	8	50	25	38180000
-1	8	60	30	38710000
-1	8	70	35	39520000
-1	8	80	40	39600000
-1	8	100	50	38240000
-1	8	200	100	41510000
-1	8	300	150	43210000
-1	8	400	200	47150000
-1	8	500	250	47980000
-1	8	600	300	47510000
-1	8	700	350	48020000
-1	8	800	400	50540000
-1	8	900	450	47830000
-1	8	1000	500	47430000
-1	8	1100	550	49450000
-1	8	1200	600	49390000
-1	8	1500	750	46580000
-1	8	2000	1000	47910000
-1	9	10	5	47280000
-1	9	20	10	40530000
-1	9	30	15	38480000
-1	9	40	20	37110000
-1	9	50	25	38080000
-1	9	60	30	39400000
-1	9	70	35	38110000
-1	9	80	40	36740000
-1	9	100	50	40810000
-1	9	200	100	43440000
-1	9	300	150	43810000
-1	9	400	200	48310000
-1	9	500	250	46730000
-1	9	600	300	46430000
-1	9	700	350	46910000
-1	9	800	400	49150000
-1	9	900	450	46310000
-1	9	1000	500	47430000
-1	9	1100	550	49450000
-1	9	1200	600	49390000
-1	9	1500	750	46580000
-1	9	2000	1000	47910000
-1	10	10	5	42440000
-1	10	20	10	41190000
-1	10	30	15	38180000
-1	10	40	20	37550000
-1	10	50	25	36940000
-1	10	60	30	35670000
-1	10	70	35	33670000
-1	10	80	40	32720000
-1	10	100	50	37760000
-1	10	200	100	42950000
-1	10	300	150	42030000
-1	10	400	200	47530000
-1	10	500	250	46740000
-1	10	600	300	45680000
-1	10	700	350	46150000
-1	10	800	400	47490000
-1	10	900	450	44930000
-1	10	1000	500	47430000
-1	10	1100	550	49450000
-1	10	1200	600	49390000
-1	10	1500	750	46580000
-1	10	2000	1000	47910000
-1	11	10	5	39660000
-1	11	20	10	37770000
-1	11	30	15	34750000
-1	11	40	20	35020000
-1	11	50	25	29280000
-1	11	60	30	30040000
-1	11	70	35	28590000
-1	11	80	40	28430000
-1	11	100	50	34530000
-1	11	200	100	41530000
-1	11	300	150	42650000
-1	11	400	200	47430000
-1	11	500	250	45780000
-1	11	600	300	44150000
-1	11	700	350	44530000
-1	11	800	400	47490000
-1	11	900	450	44930000
-1	11	1000	500	47430000
-1	11	1100	550	49450000
-1	11	1200	600	49390000
-1	11	1500	750	46580000
-1	11	2000	1000	47910000
-0.5	5	10	5	44750000
-0.5	5	20	10	44750000
-0.5	5	30	15	43380000
-0.5	5	40	20	42960000
-0.5	5	50	25	42660000
-0.5	5	60	30	43320000
-0.5	5	70	35	43320000
-0.5	5	80	40	43320000
-0.5	5	100	50	43020000
-0.5	5	200	100	45420000
-0.5	5	300	150	45820000
-0.5	5	400	200	46530000
-0.5	5	500	250	46530000
-0.5	5	600	300	46450000
-0.5	5	700	350	45930000
-0.5	5	800	400	45930000
-0.5	5	900	450	45670000
-0.5	5	1000	500	45140000
-0.5	5	1100	550	46140000
-0.5	5	1200	600	46080000
-0.5	5	1500	750	44790000
-0.5	5	2000	1000	47910000
-0.5	6	10	5	44810000
-0.5	6	20	10	45450000
-0.5	6	30	15	45670000
-0.5	6	40	20	44800000
-0.5	6	50	25	44260000
-0.5	6	60	30	45150000
-0.5	6	70	35	45140000
-0.5	6	80	40	45080000
-0.5	6	100	50	44890000
-0.5	6	200	100	49450000
-0.5	6	300	150	47540000
-0.5	6	400	200	47430000
-0.5	6	500	250	47430000
-0.5	6	600	300	47880000
-0.5	6	700	350	48780000
-0.5	6	800	400	49020000
-0.5	6	900	450	47830000
-0.5	6	1000	500	47720000
-0.5	6	1100	550	48720000
-0.5	6	1200	600	48660000
-0.5	6	1500	750	46580000
-0.5	6	2000	1000	47910000
-0.5	7	10	5	4.8e+07
-0.5	7	20	10	47860000
-0.5	7	30	15	48520000
-0.5	7	40	20	46530000
-0.5	7	50	25	42550000
-0.5	7	60	30	42400000
-0.5	7	70	35	41550000
-0.5	7	80	40	42150000
-0.5	7	100	50	45670000
-0.5	7	200	100	46920000
-0.5	7	300	150	44360000
-0.5	7	400	200	46190000
-0.5	7	500	250	46190000
-0.5	7	600	300	46190000
-0.5	7	700	350	46750000
-0.5	7	800	400	49020000
-0.5	7	900	450	47830000
-0.5	7	1000	500	46700000
-0.5	7	1100	550	48720000
-0.5	7	1200	600	48660000
-0.5	7	1500	750	46580000
-0.5	7	2000	1000	47910000
-0.5	8	10	5	48670000
-0.5	8	20	10	43150000
-0.5	8	30	15	41840000
-0.5	8	40	20	38080000
-0.5	8	50	25	38180000
-0.5	8	60	30	38710000
-0.5	8	70	35	39520000
-0.5	8	80	40	39600000
-0.5	8	100	50	38240000
-0.5	8	200	100	41510000
-0.5	8	300	150	43210000
-0.5	8	400	200	47150000
-0.5	8	500	250	47980000
-0.5	8	600	300	47510000
-0.5	8	700	350	48020000
-0.5	8	800	400	50540000
-0.5	8	900	450	47830000
-0.5	8	1000	500	47430000
-0.5	8	1100	550	49450000
-0.5	8	1200	600	49390000
-0.5	8	1500	750	46580000
-0.5	8	2000	1000	47910000
-0.5	9	10	5	47280000
-0.5	9	20	10	40530000
-0.5	9	30	15	38480000
-0.5	9	40	20	37110000
-0.5	9	50	25	38080000
-0.5	9	60	30	39400000
-0.5	9	70	35	38110000
-0.5	9	80	40	36740000
-0.5	9	100	50	40810000
-0.5	9	200	100	43440000
-0.5	9	300	150	43810000
-0.5	9	400	200	48310000
-0.5	9	500	250	46730000
-0.5	9	600	300	46430000
-0.5	9	700	350	46910000
-0.5	9	800	400	49150000
-0.5	9	900	450	46310000
-0.5	9	1000	500	47430000
-0.5	9	1100	550	49450000
-0.5	9	1200	600	49390000
-0.5	9	1500	750	46580000
-0.5	9	2000	1000	47910000
-0.5	10	10	5	42440000
-0.5	10	20	10	41190000
-0.5	10	30	15	38180000
-0.5	10	40	20	37550000
-0.5	10	50	25	36940000
-0.5	10	60	30	35670000
-0.5	10	70	35	33670000
-0.5	10	80	40	32720000
-0.5	10	100	50	37760000
-0.5	10	200	100	42950000
-0.5	10	300	150	42030000
-0.5	10	400	200	47530000
-0.5	10	500	250	46740000
-0.5	10	600	300	45680000
-0.5	10	700	350	46150000
-0.5	10	800	400	47490000
-0.5	10	900	450	44930000
-0.5	10	1000	500	47430000
-0.5	10	1100	550	49450000
-0.5	10	1200	600	49390000
-0.5	10	1500	750	46580000
-0.5	10	2000	1000	47910000
-0.5	11	10	5	39660000
-0.5	11	20	10	37770000
-0.5	11	30	15	34750000
-0.5	11	40	20	35020000
-0.5	11	50	25	29280000
-0.5	11	60	30	30040000
-0.5	11	70	35	28590000
-0.5	11	80	40	28430000
-0.5	11	100	50	34530000
-0.5	11	200	100	41530000
-0.5	11	300	150	42650000
-0.5	11	400	200	47430000
-0.5	11	500	250	45780000
-0.5	11	600	300	44150000
-0.5	11	700	350	44530000
-0.5	11	800	400	47490000
-0.5	11	900	450	44930000
-0.5	11	1000	500	47430000
-0.5	11	1100	550	49450000
-0.5	11	1200	600	49390000
-0.5	11	1500	750	46580000
-0.5	11	2000	1000	47910000
-0.25	5	10	5	44750000
-0.25	5	20	10	44750000
-0.25	5	30	15	43380000
-0.25	5	40	20	42960000
-0.25	5	50	25	42660000
-0.25	5	60	30	43320000
-0.25	5	70	35	43320000
-0.25	5	80	40	43320000
-0.25	5	100	50	43020000
-0.25	5	200	100	45420000
-0.25	5	300	150	45820000
-0.25	5	400	200	46530000
-0.25	5	500	250	46530000
-0.25	5	600	300	46450000
-0.25	5	700	350	45930000
-0.25	5	800	400	45930000
-0.25	5	900	450	45670000
-0.25	5	1000	500	45140000
-0.25	5	1100	550	46140000
-0.25	5	1200	600	46080000
-0.25	5	1500	750	44790000
-0.25	5	2000	1000	47910000
-0.25	6	10	5	44810000
-0.25	6	20	10	45450000
-0.25	6	30	15	45670000
-0.25	6	40	20	44800000
-0.25	6	50	25	44260000
-0.25	6	60	30	45150000
-0.25	6	70	35	45140000
-0.25	6	80	40	45080000
-0.25	6	100	50	44890000
-0.25	6	200	100	49450000
-0.25	6	300	150	47540000
-0.25	6	400	200	47430000
-0.25	6	500	250	47430000
-0.25	6	600	300	47880000
-0.25	6	700	350	48780000
-0.25	6	800	400	49020000
-0.25	6	900	450	47830000
-0.25	6	1000	500	47720000
-0.25	6	1100	550	48720000
-0.25	6	1200	600	48660000
-0.25	6	1500	750	46580000
-0.25	6	2000	1000	47910000
-0.25	7	10	5	4.8e+07
-0.25	7	20	10	47860000
-0.25	7	30	15	48520000
-0.25	7	40	20	46530000
-0.25	7	50	25	42550000
-0.25	7	60	30	42400000
-0.25	7	70	35	41550000
-0.25	7	80	40	42150000
-0.25	7	100	50	45670000
-0.25	7	200	100	46920000
-0.25	7	300	150	44360000
-0.25	7	400	200	46190000
-0.25	7	500	250	46190000
-0.25	7	600	300	46190000
-0.25	7	700	350	46750000
-0.25	7	800	400	49020000
-0.25	7	900	450	47830000
-0.25	7	1000	500	46700000
-0.25	7	1100	550	48720000
-0.25	7	1200	600	48660000
-0.25	7	1500	750	46580000
-0.25	7	2000	1000	47910000
-0.25	8	10	5	48670000
-0.25	8	20	10	43150000
-0.25	8	30	15	41840000
-0.25	8	40	20	38080000
-0.25	8	50	25	38180000
-0.25	8	60	30	38710000
-0.25	8	70	35	39520000
-0.25	8	80	40	39600000
-0.25	8	100	50	38240000
-0.25	8	200	100	41510000
-0.25	8	300	150	43210000
-0.25	8	400	200	47150000
-0.25	8	500	250	47980000
-0.25	8	600	300	47510000
-0.25	8	700	350	48020000
-0.25	8	800	400	50540000
-0.25	8	900	450	47830000
-0.25	8	1000	500	47430000
-0.25	8	1100	550	49450000
-0.25	8	1200	600	49390000
-0.25	8	1500	750	46580000
-0.25	8	2000	1000	47910000
-0.25	9	10	5	47280000
-0.25	9	20	10	40530000
-0.25	9	30	15	38480000
-0.25	9	40	20	37110000
-0.25	9	50	25	38080000
-0.25	9	60	30	39400000
-0.25	9	70	35	38110000
-0.25	9	80	40	36740000
-0.25	9	100	50	40810000
-0.25	9	200	100	43440000
-0.25	9	300	150	43810000
-0.25	9	400	200	48310000
-0.25	9	500	250	46730000
-0.25	9	600	300	46430000
-0.25	9	700	350	46910000
-0.25	9	800	400	49150000
-0.25	9	900	450	46310000
-0.25	9	1000	500	47430000
-0.25	9	1100	550	49450000
-0.25	9	1200	600	49390000
-0.25	9	1500	750	46580000
-0.25	9	2000	1000	47910000
-0.25	10	10	5	42440000
-0.25	10	20	10	41190000
-0.25	10	30	15	38180000
-0.25	10	40	20	37550000
-0.25	10	50	25	36940000
-0.25	10	60	30	35670000
-0.25	10	70	35	33670000
-0.25	10	80	40	32720000
-0.25	10	100	50	37760000
-0.25	10	200	100	42950000
-0.25	10	300	150	42030000
-0.25	10	400	200	47530000
-0.25	10	500	250	46740000
-0.25	10	600	300	45680000
-0.25	10	700	350	46150000
-0.25	10	800	400	47490000
-0.25	10	900	450	44930000
-0.25	10	1000	500	47430000
-0.25	10	1100	550	49450000
-0.25	10	1200	600	49390000
-0.25	10	1500	750	46580000
-0.25	10	2000	1000	47910000
-0.25	11	10	5	39660000
-0.25	11	20	10	37770000
-0.25	11	30	15	34750000
-0.25	11	40	20	35020000
-0.25	11	50	25	29280000
-0.25	11	60	30	30040000
-0.25	11	70	35	28590000
-0.25	11	80	40	28430000
-0.25	11	100	50	34530000
-0.25	11	200	100	41530000
-0.25	11	300	150	42650000
-0.25	11	400	200	47430000
-0.25	11	500	250	45780000
-0.25	11	600	300	44150000
-0.25	11	700	350	44530000
-0.25	11	800	400	47490000
-0.25	11	900	450	44930000
-0.25	11	1000	500	47430000
-0.25	11	1100	550	49450000
-0.25	11	1200	600	49390000
-0.25	11	1500	750	46580000
-0.25	11	2000	1000	47910000
